x,Y,dsid
828,510.532165527344,1
893,355.854339599609,1
946,134.574504852295,1
958.5,279.234680175781,1
1108,180.918884277344,1
1187,189.493137359619,1
1199,153.627868652344,1
1208,145.394439697266,1
1245.5,84.6867923736572,1
1265,315.671508789063,1
1267,106.043031692505,1
1366,307.196319580078,1
1399,266.483367919922,1
1408,192.524559020996,1
1414,136.391723632813,1
1510,47.4474105834961,1
1529,772.574462890625,1
1546,113.244338989258,1
1547,52.8003578186035,1
1559,113.851715087891,1
1560,159.509605407715,1
1571,126.837707519531,1
1584,229.818161010742,1
1589,395.297973632813,1
1596,168.699127197266,1
1599,238.751068115234,1
1618,374.161163330078,1
1627,23.9335403442383,1
1648,116.739961624146,1
1650,122.578521728516,1
1673,340.830474853516,1
1682,150.592864990234,1
1703,138.817756652832,1
1718,343.012969970703,1
1721,93.2521362304688,1
1729,117.699737548828,1
1784,346.547821044922,1
1786.5,374.981018066406,1
1793,171.603637695313,1
1801,325.814056396484,1
1808,131.032135009766,1
1832,94.1192321777344,1
1846,61.6500015258789,1
1846,99.0254058837891,1
1865,391.6142578125,1
1869,378.160835266113,1
1898,362.174743652344,1
1900,200.888198852539,1
1917,170.095371246338,1
1920,52.1255235671997,1
1922,140.484390258789,1
1922,256.180564880371,1
1925,267.802886962891,1
1946,98.0121231079102,1
1948,222.639984130859,1
1965,66.198371887207,1
1971,91.5746765136719,1
1971,157.841190338135,1
1972,168.504211425781,1
1987,197.825275421143,1
1988,266.635131835938,1
1991,266.849853515625,1
2010,316.585754394531,1
2051,324.753784179688,1
2060,149.438537597656,1
2079,98.7178649902344,1
2079,782.887756347656,1
2080,272.794494628906,1
2105,678.179443359375,1
2116,599.777282714844,1
2124,395.479614257813,1
2139,174.656372070313,1
2145,374.841461181641,1
2171,193.322662353516,1
2177,188.937805175781,1
2190,403.056335449219,1
2191,263.58056640625,1
2194,2697.79663085938,1
2202,110.919914245605,1
2208,231.077507019043,1
2229,798.287719726563,1
2246,181.151546478271,1
2247,174.199951171875,1
2260,341.639587402344,1
2265,196.057647705078,1
2295,453.469482421875,1
2309,508.63232421875,1
2312,244.791412353516,1
2321,115.91194152832,1
2346,181.143539428711,1
2353,149.892761230469,1
2357,398.875213623047,1
2371,150.70329284668,1
2433,138.189392089844,1
2471,428.405242919922,1
2486,527.025146484375,1
2489,447.811950683594,1
2509,391.09423828125,1
2510,555.847442626953,1
2558,141.498764038086,1
2565,311.587356567383,1
2586,251.05046081543,1
2592,762.739074707031,1
2617,393.933731079102,1
2631,488.013549804688,1
2651,283.034698486328,1
2761,275.678558349609,1
2800,205.508453369141,1
2813,155.651657104492,1
2859,147.53205871582,1
2872,525.169921875,1
2878,148.920989990234,1
2880,831.274108886719,1
2910,231.950790405273,1
2941,306.805786132813,1
2954,496.409942626953,1
2981,616.077026367188,1
3080,213.293319702148,1
3233,457.893798828125,1
3384,332.123840332031,1
3465,365.753601074219,1
3557,476.5419921875,1
3686,107.223159790039,1
3728,208.764190673828,1
58,155.805389404297,2
61,297.511198043823,2
69,212.692687988281,2
163,196.928161621094,2
218,215.698760986328,2
281,360.694274902344,2
313,251.28630065918,2
313,438.429321289063,2
325,99.7226867675781,2
401,138.658493041992,2
431,159.080169677734,2
476,378.365966796875,2
478,339.726257324219,2
512,194.588073730469,2
624,115.23600769043,2
630,65.6382446289063,2
723,144.724304199219,2
786,82.6750392913818,2
870,24.3029117584229,2
894,181.864364624023,2
905,116.003128051758,2
906,275.917083740234,2
924,88.7617797851563,2
931,142.01530456543,2
1029,75.8231506347656,2
1030,221.687713623047,2
1057,140.790756225586,2
1124,311.467834472656,2
1128,148.872985839844,2
1205,216.214202880859,2
1237,240.220733642578,2
1253,108.366050720215,2
1254,158.721237182617,2
1278,131.334075927734,2
1310,428.950836181641,2
1326,164.845001220703,2
1351,208.646697998047,2
1357,282.885284423828,2
1378,331.816040039063,2
1382,70.884880065918,2
1387,261.31005859375,2
1410,332.206726074219,2
1422,164.545883178711,2
1436,43.976863861084,2
1453,89.2535858154297,2
1483,219.651554107666,2
1506,203.738739013672,2
1540,104.669921875,2
1551,-3.38559627532959,2
1589,99.686767578125,2
1623,422.660278320313,2
1639,134.176330566406,2
1653,281.756500244141,2
1654,68.0287399291992,2
1660,379.731224060059,2
1663,184.256927490234,2
1664,50.6540145874023,2
1664,165.69921875,2
1668,104.652294158936,2
1673,161.274139404297,2
1682,171.364168167114,2
1725,136.876647949219,2
1730,377.910186767578,2
1748,179.976638793945,2
1748,212.117828369141,2
1749,356.451599121094,2
1753,96.2569408416748,2
1760,234.553237915039,2
1779,264.181823730469,2
1781,199.883285522461,2
1784,187.23860168457,2
1789,183.350692749023,2
1793,126.736274719238,2
1796,242.347808837891,2
1811,104.753643035889,2
1816,494.497802734375,2
1828,200.224533081055,2
1836,103.335909605026,2
1836,164.177352905273,2
1844,314.677062988281,2
1848,301.713684082031,2
1856,255.360420227051,2
1862,155.776245117188,2
1867,193.466506958008,2
1870,240.180130004883,2
1880,105.230934143066,2
1884,744.18701171875,2
1908,90.1846313476563,2
1908,190.984100341797,2
1952,724.869140625,2
1964,462.531372070313,2
1966,153.533081054688,2
1971,79.5994415283203,2
2027,254.521026611328,2
2041,655.696350097656,2
2051,93.9779262542725,2
2063,548.196044921875,2
2068,196.926025390625,2
2082,132.054702758789,2
2106,156.537563323975,2
2171,154.536743164063,2
2191,210.57763671875,2
2198,134.742343902588,2
2216,153.998901367188,2
2222,250.889617919922,2
2240,384.684020996094,2
2282,189.771026611328,2
2300,319.773681640625,2
2304,153.923522949219,2
2312,249.867248535156,2
2405,123.742210388184,2
2413,94.7238464355469,2
2498,257.051513671875,2
2524,157.162200927734,2
2590,246.441772460938,2
2593,143.261749267578,2
2696,223.619171142578,2
2758,207.692810058594,2
2840,325.847045898438,2
2889,15.0684185028076,2
3097,63.1042613983154,2
3132,381.701171875,2
3207,353.768951416016,2
60,289.054931640625,3
63,601.976612091064,3
139,106.898345947266,3
247,190.011798858643,3
281,446.346801757813,3
286,110.252807617188,3
325,197.640213012695,3
331,131.072814941406,3
355,142.580383300781,3
654,78.5694122314453,3
665,130.534816741943,3
710,83.5895385742188,3
769,194.830894470215,3
805,162.06689453125,3
841,131.511932373047,3
865,149.946578979492,3
877,124.830795288086,3
919,366.623321533203,3
982,110.396209716797,3
1012,126.07975769043,3
1013,104.342365264893,3
1046,283.274566650391,3
1057,142.041168212891,3
1165,316.862365722656,3
1210,107.646125793457,3
1246,345.112426757813,3
1263,94.9279022216797,3
1263,98.1866321563721,3
1287,90.8203353881836,3
1287,214.959594726563,3
1318,217.04216003418,3
1326,161.261749267578,3
1364,218.330261230469,3
1422,226.62467956543,3
1448,105.419075012207,3
1482,273.928405761719,3
1537,224.366744995117,3
1543,197.224792480469,3
1597,280.508911132813,3
1617,164.460189819336,3
1621,347.519287109375,3
1627,165.533508300781,3
1629,229.137237548828,3
1639,90.5408630371094,3
1641,290.007507324219,3
1642,156.199890136719,3
1708,324.664306640625,3
1723,177.746746063232,3
1731,248.523834228516,3
1775,389.299011230469,3
1779,143.046127319336,3
1790,117.253433227539,3
1791,98.06640625,3
1808,91.2297055721283,3
1840,383.502075195313,3
1977,307.063659667969,3
2005,274.589660644531,3
2010,176.515594482422,3
2013,55.4065933227539,3
2022,289.191009521484,3
2028,212.295013427734,3
2042,75.9063949584961,3
2072,127.564193725586,3
2080,280.723564147949,3
2084,170.026641845703,3
2089,275.308074951172,3
2094,432.600646972656,3
2098,132.109176635742,3
2100,119.925567626953,3
2110,295.458404541016,3
2123,196.695083618164,3
2128,117.858139038086,3
2139,164.78288269043,3
2155,252.383483886719,3
2165,128.457489013672,3
2175,407.804016113281,3
2183,252.841857910156,3
2210,120.271087646484,3
2240,198.797561645508,3
2247,103.829170227051,3
2248,279.426330566406,3
2264,105.454727172852,3
2272,272.431640625,3
2290,263.013000488281,3
2300,377.169525146484,3
2303,147.794891357422,3
2307,242.427307128906,3
2321,310.6962890625,3
2351,122.037384033203,3
2359,284.744201660156,3
2374,370.291870117188,3
2378,191.541744232178,3
2381,105.910301208496,3
2389,148.228515625,3
2406,92.3522644042969,3
2439,323.421508789063,3
2451,143.251861572266,3
2461,179.073455810547,3
2463,140.743804931641,3
2463,286.211029052734,3
2529,234.480407714844,3
2576,406.043853759766,3
2616,136.071792602539,3
2670,330.73583984375,3
2677,309.592163085938,3
2679,140.235378265381,3
2739,172.210205078125,3
2783,451.713470458984,3
2953,215.644195556641,3
3105,197.159637451172,3
3121,484.449798583984,3
3159,134.564888000488,3
3161,257.352325439453,3
3187,476.490875244141,3
3190,187.982223510742,3
3210,289.42822265625,3
3290,141.29931640625,3
3374,274.669586181641,3
325,23.0367774963379,4
352,177.048370361328,4
694,315.742156982422,4
876,54.1445274353027,4
889,187.763931274414,4
910,162.613189697266,4
918,124.86994934082,4
989,344.285858154297,4
1004,217.019439697266,4
1141,122.636779785156,4
1170,178.320846557617,4
1215,187.550140380859,4
1314,199.176681518555,4
1318,413.814636230469,4
1337,231.985198974609,4
1355,236.532867431641,4
1360,298.445129394531,4
1372,207.581085205078,4
1391,276.811157226563,4
1495,386.171813964844,4
1512,102.663040161133,4
1546,438.305908203125,4
1585,127.9921875,4
1595,440.274597167969,4
1643,237.879119873047,4
1672,47.8499298095703,4
1681,353.353485107422,4
1694,193.689575195313,4
1720,364.890777587891,4
1838,239.679504394531,4
1853,202.710159301758,4
2054,238.664916992188,4
2149,135.804061889648,4
2221,195.130126953125,4
2230,243.590454101563,4
2327,367.884338378906,4
2423,252.847198486328,4
2733,159.332641601563,4
2792,194.911895751953,4
2878,332.90966796875,4
3021,294.451721191406,4
270,30.7063903808594,5
420,-2.51873779296875,5
515,102.587051391602,5
579,76.4530639648438,5
946,106.932525634766,5
1284,243.532180786133,5
1379,570.787963867188,5
1468,101.935279846191,5
1469,7.36751937866211,5
1469,181.660263061523,5
1483,117.05623626709,5
1550,24.7893676757813,5
1556,88.3653526306152,5
1604,93.982307434082,5
1641,144.25471496582,5
1759,177.731536865234,5
1918,104.272735595703,5
1984,193.8935546875,5
1998,176.919967651367,5
2100,213.838516235352,5
2205,169.647994995117,5
2232,273.375579833984,5
2238,105.799892425537,5
2284,142.918090820313,5
2311,242.625961303711,5
2336,39.9675471782684,5
2361,80.1696929931641,5
2389,279.066680908203,5
2414,179.094665527344,5
2416,195.179779052734,5
2452,-11.0600318908691,5
2456,199.697662353516,5
2495,163.688812255859,5
2537,125.904197692871,5
2547,138.086227416992,5
2549,166.349243164063,5
2572,1388.00439453125,5
2611,83.9892501831055,5
2641,56.7356796264648,5
2667,205.21887588501,5
2730,273.271057128906,5
2740,103.998985290527,5
2762,82.1614456176758,5
2768,264.300354003906,5
2811,150.608261108398,5
2821,120.89933013916,5
2838,200.22053527832,5
2890,120.515495300293,5
2980,422.744934082031,5
3005,392.263671875,5
3023,337.128234863281,5
3054,26.6038150787354,5
3110,185.896240234375,5
3128,111.688652038574,5
3144,76.2766590118408,5
3193,115.827423095703,5
3437,173.71752166748,5
3492,166.350177764893,5
3495,100.653022766113,5
3547,92.5925598144531,5
3565,135.260925292969,5
3635,58.5336735248566,5
3920,100.254829406738,5
307,429.793823242188,6
507,81.7978820800781,6
581,54.9449844360352,6
1182,68.7446365356445,6
1253,210.196807861328,6
1277,82.6253280639648,6
1347,258.371795654297,6
1409,187.563705444336,6
1433,210.622228622437,6
