binMidValues,frac_mean,frac_onset,frac_ste,onset_ste
111.764705882353,0.116832983193277,5.14129761528401,0.155849470487555,0.0135064034368173
335.294117647059,0.233333333333333,5.65350002143532,0.0443729349665331,0.0112305888592774
558.823529411765,0.254166666666667,5.02485003322363,0.150102831015022,0.0244438899063499
782.352941176471,0.218181818181818,4.5333699927479,0.0637979242851851,0.0233751499953846
1005.88235294118,0.353656462585034,5.05906601858636,0.0575751065249897,0.0275871645282959
1229.41176470588,0.365826330532213,5.0270664064383,0.105689061982449,0.0241432394158318
1452.94117647059,0.415085200746965,4.71531518904717,0.0899805710636099,0.0252288226145666
1676.47058823529,0.372365455057763,4.55839335489558,0.0901801684068827,0.0219261969368649
1900,0.44875,4.72264834037928,0.077692363794513,0.0250403161316464
2123.52941176471,0.493650793650794,4.40666443092542,0.08352203875474,0.0271298460289098
2347.05882352941,0.476190476190476,4.16154561521175,0.0601621232830896,0.0288259080306261
2570.58823529412,0.595238095238095,4.14004027148088,0.0642478847655066,0.030621436384399
2794.11764705882,0.430555555555556,5.31404581833631,0.0461352444383157,0.0309219096730969
3017.64705882353,0.4,5.6099972454831,0.0150079755916474,0.0360180135112599
3241.17647058824,NaN,NaN,NaN,NaN
3464.70588235294,NaN,NaN,NaN,NaN
3688.23529411765,NaN,NaN,NaN,NaN
